RQ1,Q3,Q4,RQ2A2,C총액1인MIS,RDAY평균,Q7,D_BUN,D_SEX,D_AGE,체류1순위,체류2순위,D_NAT_CLUST,만족한활동
1,1,1,2,2,4.0,4,2,2,2,대구일TOT,서울일TOT,동남아시아,1
1,3,1,11,3,3.0,4,2,2,2,서울일TOT,없음,동아시아,2
2,3,1,3,3,4.0,4,2,1,2,서울일TOT,없음,동남아시아,1
4,2,1,2,3,5.0,5,2,1,5,서울일TOT,없음,북아메리카,6
4,3,1,1,4,5.0,4,2,1,4,인천일TOT,없음,북아메리카,14
4,1,1,2,2,3.0,5,2,1,3,서울일TOT,부산일TOT,동남아시아,1
1,2,1,11,2,2.0,4,2,1,2,서울일TOT,없음,북아메리카,3
1,1,1,11,5,5.0,5,2,2,1,서울일TOT,부산일TOT,북아메리카,7
2,3,1,11,5,5.0,4,2,1,4,서울일TOT,없음,북아메리카,14
3,1,1,2,2,3.0,5,2,1,3,서울일TOT,부산일TOT,동남아시아,1
1,1,1,11,4,3.0,5,2,1,2,서울일TOT,없음,북아메리카,3
1,2,1,3,3,4.0,5,2,2,5,인천일TOT,서울일TOT,북아메리카,3
1,2,1,11,3,3.0,5,2,2,2,서울일TOT,부산일TOT,기타,4
1,1,1,11,4,3.0,5,2,2,6,서울일TOT,제주일TOT,기타,4
1,2,1,11,4,3.0,5,2,2,6,서울일TOT,부산일TOT,기타,6
1,1,1,3,2,3.0,3,2,2,3,서울일TOT,경기일TOT,북아메리카,11
4,3,1,12,4,3.0,5,2,1,3,서울일TOT,없음,기타,2
4,2,1,11,4,3.0,5,2,1,4,서울일TOT,강원일TOT,북아메리카,3
1,1,1,1,2,5.0,4,2,1,2,인천일TOT,없음,북아메리카,3
2,2,1,11,3,3.0,5,2,2,5,경북일TOT,제주일TOT,북아메리카,5
4,1,1,2,3,5.0,3,2,2,4,서울일TOT,없음,동남아시아,2
3,1,1,2,3,5.0,4,2,2,4,서울일TOT,없음,동남아시아,2
1,2,1,12,4,3.0,5,2,2,3,경기일TOT,부산일TOT,북아메리카,2
4,1,1,2,3,4.0,5,2,2,1,서울일TOT,없음,동남아시아,2
1,1,1,2,3,4.0,5,2,2,1,서울일TOT,없음,동남아시아,2
3,1,1,2,3,4.0,5,2,2,2,서울일TOT,없음,동남아시아,2
2,1,1,2,3,4.0,5,2,2,2,서울일TOT,없음,동남아시아,2
1,3,1,3,2,3.0,4,2,1,3,충북일TOT,없음,북아메리카,14
4,2,1,11,4,3.0,5,2,2,1,대구일TOT,서울일TOT,북아메리카,2
2,1,1,3,3,3.0,5,2,2,2,서울일TOT,강원일TOT,동남아시아,11
1,2,1,2,1,3.0,5,2,2,3,서울일TOT,없음,북아메리카,1
2,1,1,3,3,3.0,5,2,2,2,서울일TOT,강원일TOT,동남아시아,11
3,2,1,11,3,2.0,5,2,1,5,경기일TOT,없음,북아메리카,2
2,1,1,3,3,3.0,5,2,2,2,서울일TOT,강원일TOT,동남아시아,11
1,1,1,3,3,3.0,4,2,1,4,서울일TOT,제주일TOT,동남아시아,1
3,1,1,11,4,4.0,5,2,2,2,서울일TOT,없음,북아메리카,4
1,1,1,3,2,3.0,4,2,2,1,서울일TOT,제주일TOT,동남아시아,1
1,1,1,3,3,3.0,5,2,2,4,서울일TOT,제주일TOT,동남아시아,12
1,1,1,11,4,4.0,5,2,2,3,서울일TOT,전북일TOT,북아메리카,6
1,1,1,3,3,4.0,4,2,1,3,서울일TOT,부산일TOT,북아메리카,1
2,1,1,2,3,5.0,5,2,1,2,서울일TOT,없음,동남아시아,11
2,3,1,2,2,3.0,5,2,1,3,인천일TOT,서울일TOT,동아시아,14
2,1,1,11,4,3.0,5,2,1,2,서울일TOT,없음,동남아시아,4
1,1,1,2,3,4.0,5,2,2,6,서울일TOT,전북일TOT,북아메리카,4
2,3,1,1,2,4.0,3,2,1,3,인천일TOT,전남일TOT,"오세아니아,중동",2
2,2,1,11,3,3.0,5,2,2,2,서울일TOT,부산일TOT,북아메리카,13
2,3,1,1,2,5.0,3,2,1,3,인천일TOT,전남일TOT,"오세아니아,중동",2
2,3,1,3,5,5.0,5,2,2,3,서울일TOT,부산일TOT,북아메리카,1
4,2,1,3,3,4.0,3,2,1,5,서울일TOT,없음,동아시아,17
2,1,1,11,4,4.0,5,2,2,2,부산일TOT,서울일TOT,북아메리카,3
1,1,1,11,4,4.0,5,2,2,3,부산일TOT,서울일TOT,북아메리카,3
4,1,1,11,5,4.0,5,2,2,3,서울일TOT,부산일TOT,동남아시아,8
3,2,1,3,2,3.0,4,2,2,5,서울일TOT,부산일TOT,동아시아,17
1,2,1,3,2,3.0,5,2,1,4,경북일TOT,없음,기타,1
3,1,1,11,3,3.0,5,2,2,2,서울일TOT,부산일TOT,기타,1
1,1,1,11,3,3.0,5,2,2,1,서울일TOT,부산일TOT,기타,6
1,1,1,11,3,3.0,5,2,2,2,서울일TOT,강원일TOT,유럽,7
1,3,1,2,4,5.0,4,2,1,3,인천일TOT,없음,유럽,14
4,3,1,2,2,4.0,5,2,1,6,서울일TOT,충북일TOT,기타,14
1,2,1,11,4,3.0,4,2,1,2,서울일TOT,강원일TOT,기타,4
1,1,1,3,3,3.0,5,2,1,2,서울일TOT,없음,유럽,5
3,3,1,2,4,5.0,4,2,1,4,서울일TOT,부산일TOT,기타,14
1,1,1,11,4,3.0,5,2,2,4,서울일TOT,부산일TOT,기타,4
3,3,1,2,3,4.0,4,2,1,2,충남일TOT,없음,기타,2
1,3,2,3,3,4.0,5,2,1,5,서울일TOT,없음,"오세아니아,중동",6
2,3,2,11,2,3.0,5,2,1,4,전남일TOT,울산일TOT,유럽,4
2,2,1,12,2,1.0,5,2,2,5,서울일TOT,없음,기타,1
1,3,1,2,2,3.0,4,2,2,3,경기일TOT,없음,"오세아니아,중동",14
1,1,1,3,3,3.0,5,2,1,2,서울일TOT,제주일TOT,유럽,11
1,6,3,3,3,3.0,5,2,2,2,경기일TOT,없음,"오세아니아,중동",13
3,3,1,11,4,3.0,5,2,1,2,인천일TOT,없음,"오세아니아,중동",14
1,1,1,11,3,3.0,5,2,2,2,서울일TOT,제주일TOT,유럽,1
1,6,3,3,3,4.0,4,2,1,3,경기일TOT,없음,"오세아니아,중동",13
1,1,1,2,2,3.0,5,2,2,2,서울일TOT,없음,기타,7
2,3,2,2,4,5.0,5,2,1,3,서울일TOT,없음,기타,14
1,1,1,2,2,3.0,5,2,2,2,서울일TOT,없음,북아메리카,5
1,1,1,11,4,3.0,4,2,1,3,서울일TOT,없음,유럽,1
1,1,1,2,4,5.0,5,2,2,1,서울일TOT,없음,동남아시아,3
1,1,1,2,2,4.0,5,2,1,5,서울일TOT,없음,동남아시아,5
4,1,1,2,2,3.0,5,2,2,2,서울일TOT,없음,동남아시아,2
1,1,1,2,3,5.0,5,2,2,5,서울일TOT,없음,동남아시아,2
1,2,1,11,4,4.0,5,2,2,5,서울일TOT,인천일TOT,북아메리카,3
4,1,1,2,3,4.0,4,2,2,2,서울일TOT,없음,동아시아,2
4,1,1,2,2,3.0,5,2,1,2,서울일TOT,경북일TOT,동남아시아,13
1,2,1,11,5,4.0,5,2,1,5,서울일TOT,인천일TOT,동남아시아,1
2,1,1,2,2,4.0,5,2,2,3,서울일TOT,없음,동남아시아,7
4,1,1,11,2,3.0,5,2,2,2,서울일TOT,없음,동남아시아,2
2,1,1,2,2,3.0,4,2,2,2,서울일TOT,경기일TOT,동남아시아,7
3,1,1,3,2,3.0,5,2,2,2,서울일TOT,없음,동남아시아,7
2,1,1,2,1,3.0,5,2,2,2,서울일TOT,없음,북아메리카,12
1,1,1,3,3,4.0,5,2,1,1,제주일TOT,서울일TOT,북아메리카,5
4,1,1,2,2,3.0,4,2,2,2,서울일TOT,없음,동남아시아,7
1,2,1,11,3,3.0,5,2,1,1,서울일TOT,제주일TOT,북아메리카,1
3,1,1,2,2,3.0,5,2,2,2,서울일TOT,없음,동남아시아,7
2,1,1,2,2,3.0,4,2,2,2,서울일TOT,없음,동남아시아,2
2,1,1,11,3,3.0,5,2,2,2,서울일TOT,부산일TOT,동남아시아,3
4,1,1,3,2,3.0,5,2,1,5,서울일TOT,충북일TOT,동남아시아,3
1,1,1,11,3,3.0,5,2,1,1,서울일TOT,부산일TOT,유럽,4
4,2,1,3,2,3.0,5,2,1,5,충남일TOT,경기일TOT,북아메리카,1
1,1,1,3,5,5.0,5,2,2,4,서울일TOT,부산일TOT,동남아시아,1
2,3,1,12,2,2.0,5,2,1,4,부산일TOT,없음,동남아시아,15
1,2,1,2,3,4.0,4,2,2,5,서울일TOT,제주일TOT,기타,10
4,1,1,2,2,4.0,5,2,2,2,서울일TOT,없음,동남아시아,7
4,1,1,3,3,3.0,5,2,2,2,서울일TOT,강원일TOT,동남아시아,7
2,1,1,2,2,4.0,5,2,2,2,서울일TOT,없음,동남아시아,7
1,1,1,11,3,3.0,5,2,2,1,서울일TOT,부산일TOT,동남아시아,5
1,1,1,2,2,4.0,4,2,2,2,서울일TOT,없음,동남아시아,7
1,1,1,3,3,3.0,5,2,2,2,서울일TOT,부산일TOT,동남아시아,11
1,1,1,2,2,4.0,4,2,2,4,서울일TOT,없음,동남아시아,7
1,1,1,2,2,4.0,5,2,2,2,서울일TOT,부산일TOT,동남아시아,1
4,1,1,2,3,4.0,5,2,2,1,서울일TOT,없음,동남아시아,1
1,6,1,11,1,1.0,5,2,1,2,경기일TOT,없음,동아시아,2
1,6,1,11,1,1.0,5,2,1,3,경기일TOT,없음,동아시아,1
1,1,1,3,4,4.0,5,2,1,3,서울일TOT,부산일TOT,동남아시아,1
2,1,1,3,3,3.0,5,2,2,2,서울일TOT,부산일TOT,동남아시아,1
2,1,1,3,3,3.0,5,2,1,2,서울일TOT,없음,동남아시아,1
1,1,1,12,5,3.0,4,2,1,2,인천일TOT,서울일TOT,유럽,3
1,1,1,2,2,3.0,5,2,2,1,부산일TOT,서울일TOT,동아시아,3
1,4,1,11,5,4.0,5,2,2,2,인천일TOT,서울일TOT,동남아시아,2
1,1,1,3,2,3.0,5,2,2,2,서울일TOT,없음,유럽,6
2,1,1,2,2,3.0,4,2,2,2,서울일TOT,없음,동남아시아,1
1,2,1,11,4,3.0,5,2,1,2,경남일TOT,서울일TOT,기타,6
2,3,1,2,5,5.0,4,2,1,4,서울일TOT,없음,유럽,14
3,1,1,11,3,3.0,5,2,2,2,서울일TOT,부산일TOT,동남아시아,5
2,1,1,11,3,3.0,4,2,2,2,서울일TOT,전북일TOT,동남아시아,4
1,1,1,11,5,3.0,4,2,1,3,서울일TOT,없음,기타,2
2,1,1,11,4,3.0,5,2,1,2,서울일TOT,제주일TOT,동남아시아,3
2,3,1,11,4,3.0,5,2,1,2,서울일TOT,제주일TOT,북아메리카,5
2,3,1,11,4,3.0,5,2,1,2,서울일TOT,제주일TOT,북아메리카,14
1,1,1,11,3,3.0,4,2,1,2,서울일TOT,부산일TOT,기타,3
1,1,1,11,3,2.0,5,2,1,2,서울일TOT,제주일TOT,유럽,4
1,3,1,2,4,4.0,5,2,1,3,서울일TOT,없음,유럽,2
1,2,1,11,4,3.0,5,2,1,3,서울일TOT,없음,유럽,11
1,1,1,1,1,1.0,5,2,2,2,서울일TOT,없음,동아시아,7
1,1,1,11,4,3.0,5,2,1,3,서울일TOT,없음,북아메리카,4
1,4,1,2,5,5.0,5,2,1,5,서울일TOT,없음,북아메리카,15
1,3,1,1,1,1.0,5,2,1,5,서울일TOT,없음,동아시아,14
4,1,1,2,2,3.0,4,2,2,5,서울일TOT,없음,동아시아,8
1,1,1,12,2,1.0,5,2,1,2,서울일TOT,부산일TOT,유럽,1
1,3,1,2,3,4.0,4,2,1,2,서울일TOT,없음,유럽,1
1,3,1,2,4,5.0,5,2,1,2,서울일TOT,없음,유럽,2
4,3,2,3,5,5.0,5,2,1,4,서울일TOT,부산일TOT,기타,14
4,4,1,12,4,2.0,4,2,2,1,경기일TOT,없음,동아시아,2
4,2,1,3,5,5.0,5,2,2,5,서울일TOT,없음,북아메리카,2
1,1,1,11,2,3.0,5,2,1,5,서울일TOT,부산일TOT,기타,3
4,3,1,11,3,3.0,5,2,1,5,경기일TOT,없음,동아시아,1
1,2,1,2,1,3.0,5,2,2,2,서울일TOT,없음,북아메리카,2
4,1,1,2,1,3.0,5,2,2,2,서울일TOT,없음,동아시아,7
4,4,1,11,1,1.0,5,2,2,2,서울일TOT,없음,동아시아,2
1,2,1,11,3,3.0,5,2,2,2,서울일TOT,부산일TOT,북아메리카,4
1,3,1,11,5,5.0,5,2,1,3,서울일TOT,없음,기타,14
3,3,1,12,3,2.0,5,2,1,3,전북일TOT,없음,동남아시아,14
1,1,1,11,3,3.0,5,2,2,2,서울일TOT,없음,북아메리카,11
2,1,1,11,2,3.0,5,2,2,2,서울일TOT,없음,북아메리카,1
1,2,1,3,4,5.0,5,2,1,5,서울일TOT,부산일TOT,북아메리카,4
2,1,1,12,5,3.0,5,2,2,3,서울일TOT,부산일TOT,기타,4
4,1,1,11,2,3.0,4,2,2,2,서울일TOT,부산일TOT,동남아시아,7
4,1,1,11,2,3.0,4,2,2,5,서울일TOT,부산일TOT,동남아시아,7
4,1,1,2,3,5.0,5,2,2,5,서울일TOT,없음,동남아시아,1
3,1,1,3,2,3.0,4,2,1,5,서울일TOT,부산일TOT,동남아시아,1
3,1,1,2,2,4.0,5,2,2,2,서울일TOT,부산일TOT,동남아시아,1
1,1,1,11,4,3.0,4,2,2,3,서울일TOT,없음,기타,4
1,1,1,11,3,3.0,5,2,1,2,서울일TOT,부산일TOT,유럽,5
1,3,1,1,2,5.0,5,2,1,4,서울일TOT,없음,유럽,14
4,1,1,2,1,3.0,5,2,2,2,서울일TOT,없음,동남아시아,11
4,1,1,2,1,3.0,5,2,2,3,서울일TOT,없음,동남아시아,11
4,1,1,2,2,4.0,5,2,2,2,서울일TOT,없음,동남아시아,11
1,1,1,2,3,5.0,4,2,1,4,서울일TOT,없음,동남아시아,12
1,3,1,3,5,5.0,5,2,1,3,서울일TOT,없음,기타,4
1,1,1,2,3,5.0,5,2,2,3,서울일TOT,없음,동남아시아,1
1,1,1,3,4,5.0,5,2,2,4,서울일TOT,부산일TOT,북아메리카,6
1,1,1,2,4,5.0,5,2,2,2,서울일TOT,없음,북아메리카,2
4,2,1,11,2,2.0,5,2,2,6,서울일TOT,제주일TOT,북아메리카,6
2,3,1,12,5,2.0,5,2,1,2,제주일TOT,없음,동남아시아,2
2,3,1,12,5,3.0,5,2,1,4,대구일TOT,서울일TOT,북아메리카,6
4,2,1,2,4,5.0,5,2,1,6,강원일TOT,서울일TOT,북아메리카,6
4,3,2,2,4,5.0,5,2,1,4,서울일TOT,없음,"오세아니아,중동",14
2,1,1,11,4,4.0,4,2,2,2,서울일TOT,없음,북아메리카,4
2,6,3,3,2,3.0,5,2,2,1,강원일TOT,없음,"오세아니아,중동",13
2,1,1,11,3,3.0,5,2,1,5,부산일TOT,서울일TOT,북아메리카,4
4,2,1,2,3,3.0,5,2,1,5,서울일TOT,강원일TOT,동남아시아,3
2,1,1,11,3,3.0,2,2,2,5,서울일TOT,없음,동남아시아,1
4,1,1,2,3,4.0,5,2,2,5,서울일TOT,강원일TOT,동남아시아,3
1,1,1,12,2,2.0,5,2,2,2,경북일TOT,서울일TOT,북아메리카,3
2,3,1,3,3,3.0,5,2,2,4,서울일TOT,없음,기타,4
4,1,1,11,4,3.0,5,2,1,5,서울일TOT,제주일TOT,동남아시아,3
2,1,1,11,3,3.0,5,2,2,2,서울일TOT,부산일TOT,동남아시아,7
1,2,1,3,5,5.0,5,2,1,5,서울일TOT,부산일TOT,북아메리카,1
4,1,1,3,4,4.0,4,2,2,4,서울일TOT,없음,동남아시아,2
4,1,1,2,4,5.0,5,2,2,3,서울일TOT,없음,동남아시아,12
2,3,1,2,4,5.0,4,2,1,3,경기일TOT,없음,북아메리카,14
2,1,1,3,3,4.0,5,2,1,3,전남일TOT,서울일TOT,북아메리카,5
1,1,1,11,3,3.0,5,2,2,2,서울일TOT,부산일TOT,유럽,3
1,3,2,2,2,3.0,5,2,1,3,경기일TOT,없음,북아메리카,14
1,3,1,3,4,4.0,4,2,1,4,서울일TOT,없음,북아메리카,2
1,2,1,3,2,3.0,5,2,2,3,서울일TOT,없음,동남아시아,2
1,1,1,3,2,3.0,5,2,2,3,서울일TOT,없음,동남아시아,1
1,2,1,2,5,5.0,5,2,1,3,서울일TOT,없음,북아메리카,17
4,3,2,11,5,5.0,5,2,1,3,서울일TOT,부산일TOT,북아메리카,1
1,1,1,12,4,3.0,5,2,2,2,서울일TOT,없음,북아메리카,7
4,2,1,1,2,5.0,5,2,2,4,서울일TOT,없음,북아메리카,2
4,1,1,2,5,5.0,5,2,2,5,서울일TOT,없음,동남아시아,2
1,2,1,3,3,3.0,5,2,1,2,서울일TOT,제주일TOT,북아메리카,5
3,1,1,2,2,3.0,4,2,2,3,서울일TOT,없음,동남아시아,5
4,3,1,11,4,4.0,5,2,1,5,경기일TOT,서울일TOT,북아메리카,14
1,1,1,2,2,4.0,4,2,2,2,서울일TOT,부산일TOT,북아메리카,5
4,1,1,2,4,5.0,5,2,2,3,서울일TOT,없음,동남아시아,12
1,1,1,3,2,3.0,5,2,2,2,서울일TOT,제주일TOT,북아메리카,1
1,2,1,11,2,2.0,5,2,2,2,서울일TOT,충남일TOT,유럽,4
1,2,1,11,3,3.0,5,2,2,3,서울일TOT,없음,북아메리카,5
1,1,1,3,4,4.0,5,2,2,2,서울일TOT,부산일TOT,"오세아니아,중동",4
1,2,1,11,2,3.0,5,2,2,2,서울일TOT,부산일TOT,기타,5
3,1,1,2,2,3.0,4,2,1,5,서울일TOT,없음,동남아시아,2
3,1,1,2,2,3.0,4,2,2,5,서울일TOT,없음,동남아시아,1
3,1,1,11,4,3.0,5,2,1,3,서울일TOT,없음,동남아시아,11
3,1,1,11,4,3.0,5,2,2,2,서울일TOT,없음,동남아시아,11
4,2,1,11,3,3.0,5,2,2,2,서울일TOT,없음,북아메리카,12
4,3,1,3,5,5.0,3,2,2,4,경기일TOT,없음,북아메리카,14
1,3,1,3,4,4.0,5,2,1,4,서울일TOT,없음,북아메리카,14
1,2,1,11,4,3.0,5,2,2,2,경기일TOT,서울일TOT,북아메리카,13
4,1,1,11,4,3.0,5,2,2,6,서울일TOT,없음,북아메리카,4
4,2,1,11,4,3.0,5,2,1,3,서울일TOT,강원일TOT,북아메리카,11
1,1,1,11,4,3.0,4,2,2,1,서울일TOT,부산일TOT,유럽,6
3,2,1,11,3,3.0,5,2,1,3,서울일TOT,제주일TOT,"오세아니아,중동",1
2,6,3,3,2,3.0,5,2,1,2,서울일TOT,없음,"오세아니아,중동",5
2,2,1,3,4,5.0,5,2,1,3,서울일TOT,부산일TOT,북아메리카,1
4,6,2,2,3,4.0,4,2,2,2,강원일TOT,없음,동아시아,13
4,3,1,1,5,5.0,4,2,1,6,서울일TOT,경기일TOT,북아메리카,14
4,6,1,2,3,4.0,5,2,2,2,강원일TOT,없음,동아시아,13
4,6,1,2,3,4.0,5,2,1,4,강원일TOT,없음,동아시아,13
1,3,1,12,5,3.0,5,2,1,2,서울일TOT,부산일TOT,북아메리카,14
3,6,1,2,3,4.0,5,2,1,3,강원일TOT,없음,동아시아,13
4,6,1,2,3,4.0,5,2,2,2,강원일TOT,없음,동아시아,13
4,1,1,2,3,4.0,5,2,2,2,서울일TOT,없음,동남아시아,1
1,1,1,2,3,4.0,5,2,1,2,서울일TOT,없음,동남아시아,2
4,1,1,11,3,3.0,3,2,2,4,서울일TOT,없음,동남아시아,11
1,6,1,1,1,4.0,3,2,1,5,인천일TOT,서울일TOT,북아메리카,3
4,1,1,2,2,4.0,5,2,2,2,서울일TOT,없음,동남아시아,2
1,1,1,1,1,4.0,3,2,2,5,인천일TOT,서울일TOT,북아메리카,4
1,1,1,2,3,4.0,5,2,1,2,서울일TOT,부산일TOT,북아메리카,1
1,1,1,2,3,4.0,5,2,2,2,서울일TOT,없음,동남아시아,11
1,2,1,12,4,3.0,5,2,2,2,서울일TOT,부산일TOT,기타,1
3,1,1,2,3,4.0,5,2,2,5,서울일TOT,없음,동남아시아,1
3,2,1,11,5,4.0,5,2,2,2,서울일TOT,제주일TOT,북아메리카,4
1,3,1,2,4,5.0,5,2,2,3,서울일TOT,없음,북아메리카,4
4,2,1,11,4,3.0,5,2,2,2,서울일TOT,경기일TOT,북아메리카,1
3,2,1,11,5,4.0,5,2,2,2,서울일TOT,제주일TOT,북아메리카,7
1,1,1,11,2,2.0,4,2,1,2,서울일TOT,없음,기타,11
1,1,1,2,2,4.0,4,2,2,5,서울일TOT,없음,동아시아,7
1,1,1,2,2,4.0,4,2,2,1,서울일TOT,없음,동아시아,7
1,2,1,2,2,4.0,5,2,2,1,서울일TOT,없음,기타,1
4,1,1,2,3,4.0,5,2,2,2,서울일TOT,없음,동남아시아,2
3,1,1,2,3,4.0,5,2,2,2,서울일TOT,없음,동남아시아,1
4,2,1,11,4,3.0,5,2,1,2,경기일TOT,서울일TOT,북아메리카,1
4,3,2,2,5,5.0,5,2,1,5,서울일TOT,경기일TOT,"오세아니아,중동",14
4,4,1,2,2,3.0,5,2,2,2,서울일TOT,없음,동아시아,2
1,2,1,3,3,4.0,5,2,1,2,경북일TOT,없음,유럽,2
1,4,1,11,4,3.0,5,2,2,1,서울일TOT,없음,기타,6
2,3,1,11,3,3.0,4,2,1,3,서울일TOT,없음,기타,14
1,3,1,2,5,5.0,4,2,1,4,서울일TOT,없음,유럽,14
1,2,1,3,3,3.0,5,2,2,5,부산일TOT,서울일TOT,기타,3
2,1,1,11,4,4.0,5,2,2,2,서울일TOT,경북일TOT,유럽,4
1,1,1,3,4,4.0,5,2,1,2,서울일TOT,없음,기타,6
2,3,1,3,4,4.0,4,2,1,6,울산일TOT,없음,유럽,14
2,3,1,2,5,5.0,4,2,1,3,서울일TOT,없음,유럽,14
4,2,1,11,4,3.0,4,2,1,4,부산일TOT,인천일TOT,기타,3
1,2,1,11,4,4.0,3,2,2,2,서울일TOT,부산일TOT,"오세아니아,중동",2
1,2,1,11,4,3.0,4,2,1,3,서울일TOT,부산일TOT,유럽,3
2,2,1,12,3,2.0,4,2,2,2,서울일TOT,없음,유럽,5
3,3,1,1,5,5.0,4,2,1,5,서울일TOT,없음,기타,14
1,1,1,11,5,3.0,5,2,1,3,경기일TOT,서울일TOT,유럽,3
3,3,1,2,5,5.0,4,2,1,4,서울일TOT,대전일TOT,기타,14
1,1,1,11,4,3.0,5,2,2,2,서울일TOT,부산일TOT,기타,5
1,6,3,2,2,3.0,5,2,2,2,경기일TOT,없음,"오세아니아,중동",13
1,2,1,11,4,4.0,4,2,2,5,서울일TOT,부산일TOT,유럽,3
1,1,1,11,4,3.0,5,2,1,4,서울일TOT,부산일TOT,기타,4
2,3,1,1,5,5.0,4,2,1,4,서울일TOT,없음,유럽,14
2,3,1,2,4,5.0,4,2,1,3,서울일TOT,없음,유럽,2
2,2,1,11,3,3.0,5,2,1,3,서울일TOT,경기일TOT,유럽,3
1,1,1,11,3,3.0,5,2,2,2,서울일TOT,없음,유럽,3
1,1,1,11,5,4.0,5,2,2,5,서울일TOT,없음,유럽,3
4,3,1,1,4,5.0,3,2,1,5,서울일TOT,충북일TOT,유럽,14
3,3,1,1,4,5.0,5,2,1,6,서울일TOT,없음,기타,14
4,3,1,3,2,3.0,5,2,2,2,서울일TOT,없음,유럽,2
3,2,1,11,3,3.0,5,2,2,2,세종일TOT,없음,"오세아니아,중동",1
4,3,1,2,5,5.0,4,2,1,4,서울일TOT,경기일TOT,북아메리카,14
1,3,1,12,3,1.0,5,2,1,3,충북일TOT,없음,동아시아,14
4,4,1,11,5,3.0,4,2,2,2,서울일TOT,없음,동아시아,2
2,1,1,3,2,3.0,4,2,2,4,서울일TOT,부산일TOT,동남아시아,2
1,1,1,2,2,3.0,5,2,2,4,서울일TOT,부산일TOT,동남아시아,8
4,1,1,11,3,3.0,5,2,2,3,서울일TOT,경기일TOT,동남아시아,7
4,1,1,2,4,5.0,5,2,2,2,서울일TOT,없음,동남아시아,2
1,3,1,2,5,5.0,4,2,1,4,서울일TOT,경남일TOT,북아메리카,1
1,2,1,2,3,4.0,5,2,2,3,서울일TOT,경기일TOT,북아메리카,4
1,2,1,11,4,4.0,5,2,2,4,서울일TOT,없음,북아메리카,4
4,1,1,1,3,5.0,5,2,2,3,서울일TOT,없음,동아시아,12
1,3,1,2,5,5.0,5,2,2,5,서울일TOT,없음,북아메리카,4
3,2,1,3,1,2.0,5,2,1,6,서울일TOT,없음,북아메리카,4
1,2,1,11,3,3.0,5,2,2,6,경기일TOT,서울일TOT,북아메리카,4
4,3,1,11,5,3.0,5,2,2,2,서울일TOT,없음,동아시아,3
1,2,1,2,2,3.0,5,2,2,4,경기일TOT,서울일TOT,북아메리카,4
1,2,1,12,2,2.0,5,2,1,3,서울일TOT,제주일TOT,북아메리카,3
1,2,1,2,2,3.0,5,2,1,6,경기일TOT,서울일TOT,북아메리카,4
1,1,1,2,2,3.0,5,2,2,4,서울일TOT,부산일TOT,기타,2
4,4,1,11,3,3.0,5,2,1,2,인천일TOT,서울일TOT,동아시아,1
1,3,1,11,2,2.0,4,2,1,5,경북일TOT,부산일TOT,유럽,6
1,3,2,3,4,4.0,4,2,1,2,인천일TOT,없음,유럽,2
4,3,1,1,3,5.0,5,2,1,4,서울일TOT,없음,"오세아니아,중동",14
4,3,1,3,4,4.0,3,2,2,4,서울일TOT,없음,동아시아,14
4,3,2,11,5,3.0,4,2,1,3,충남일TOT,서울일TOT,유럽,14
1,4,1,12,3,1.0,5,2,2,3,서울일TOT,부산일TOT,유럽,2
3,3,2,3,4,5.0,5,2,1,5,대전일TOT,없음,유럽,4
4,3,1,2,5,5.0,5,2,1,4,경기일TOT,없음,유럽,14
2,3,1,2,2,4.0,5,2,1,3,서울일TOT,없음,동아시아,2
3,3,1,2,2,4.0,5,2,1,3,서울일TOT,없음,동아시아,2
1,3,1,3,4,4.0,5,2,2,3,서울일TOT,인천일TOT,기타,6
2,1,1,11,2,2.0,4,2,2,4,서울일TOT,없음,동남아시아,2
1,2,1,11,2,3.0,5,2,2,2,서울일TOT,없음,기타,11
4,2,1,2,2,3.0,5,2,2,2,부산일TOT,서울일TOT,북아메리카,1
1,2,1,3,3,3.0,5,2,1,1,서울일TOT,없음,유럽,4
2,1,1,11,3,3.0,5,2,1,2,서울일TOT,없음,기타,11
1,1,1,11,1,2.0,4,2,2,1,서울일TOT,없음,유럽,2
3,1,1,1,2,5.0,5,2,1,3,서울일TOT,없음,북아메리카,2
2,1,1,11,3,3.0,5,2,1,2,서울일TOT,전남일TOT,유럽,3
2,3,1,1,2,5.0,5,2,1,4,서울일TOT,없음,동아시아,14
1,2,1,11,3,3.0,5,2,2,2,서울일TOT,부산일TOT,기타,2
2,4,1,12,5,2.0,5,2,1,2,광주일TOT,없음,동아시아,1
1,3,1,3,5,5.0,3,2,1,3,충남일TOT,없음,유럽,1
1,1,1,11,2,2.0,5,2,1,2,서울일TOT,전남일TOT,유럽,5
1,1,1,11,3,2.0,4,2,2,3,서울일TOT,경북일TOT,유럽,4
1,3,1,11,2,3.0,5,2,1,3,경기일TOT,서울일TOT,유럽,2
1,1,1,12,3,2.0,5,2,2,1,서울일TOT,제주일TOT,기타,7
1,2,1,11,3,2.0,5,2,2,2,서울일TOT,없음,기타,4
1,2,1,11,2,2.0,5,2,2,2,서울일TOT,경남일TOT,기타,4
1,3,1,12,4,2.0,4,2,1,2,대구일TOT,없음,동아시아,1
4,4,1,12,2,1.0,5,2,1,2,광주일TOT,없음,동아시아,2
1,3,1,11,5,3.0,5,2,1,1,서울일TOT,없음,북아메리카,14
